"","logFC","logCPM","LR","PValue"
"Aff3",-7.6986550251093,5.57848759505898,2939.97837724457,0
"Gm16150",-15.8216143176266,-1.05658146881368,549.151026749025,1.92608992051597e-121
"Gm16152",-11.3741436723764,-1.72708099203199,191.450523657737,1.53362519434625e-43
"Lonrf2",-6.64877414038782,7.52974527941512,2770.7408231838,0
"Chst10",-7.30819548868986,6.2217561416333,2375.72465699776,0
"Pdcl3",-8.20567557724968,4.69110781692399,3354.02491366837,0
"Npas2",-7.65713994969542,5.32384955365731,413.572394099419,6.11668543268379e-92
"Rpl31",-9.07564920802831,2.98807715152094,1006.1149837197,8.41575087041858e-221
"Tbc1d8",-7.36869888257285,5.91304978935286,304.5026240949,3.44211312266717e-68
"LOC118567738",-10.4989614637092,0.946145630694025,653.091329651225,4.75127669763237e-144
"Cnot11",-8.09556428027666,4.93269101889711,3544.5395224878,0
"Snord89",-17.9666795291644,-0.744546993219223,1211.39826443617,2.03304973076944e-265
"Rnf149",-7.90573992529879,5.15791856540902,2309.69462846996,0
"Creg2",-6.78442529515678,7.37505120635381,1198.40532526135,1.35477331389043e-262
"D930019O06Rik",-9.49544508356993,2.19838274938929,244.422020136324,4.27113788007967e-55
"Map4k4",-6.52564661995535,7.85553542052229,2166.3619907096,0
"Gm16894",-11.282724990572,0.778888495174452,834.916941160881,1.38257790289857e-183
"Il1r2",-12.298139366545,-1.21979857158808,179.182808495914,7.30884195940677e-41
"Il1r1",-9.63113493928892,1.93538660904276,633.483721789791,8.73267055852367e-140
"Il1rl2",-10.9114652215617,0.371837309851654,527.651199633598,9.16104895348952e-117
"Slc9a4",-10.1630383425589,0.586302082054188,38.092730737107,6.74609954432557e-10
"Slc9a2",-8.89166770791476,3.32820211401726,1123.99806407378,2.00952448992074e-246
"Mfsd9",-9.47961059589716,2.51109409972862,1171.14017609884,1.14132037901059e-256
"Tmem182",-11.2843817226825,-1.09906297671387,90.6986883241989,1.6730411750367e-21
"Gm29260",-10.2767619597728,0.569389924472996,167.225971598273,2.98586745013088e-38
"Gm28175",-9.15590138615866,2.94115520904597,612.748170132712,2.82500103462338e-135
"Pantr1",-8.34436249491134,4.39670297281619,1417.74762157265,2.9231454045254e-310
"Gm46091",-9.42126387534003,2.56243481806952,1115.70343144048,1.27601397757801e-244
"Pou3f3",-7.02191902746652,6.8724664766367,2099.74310410188,0
"2900092D14Rik",-8.9369748260292,3.50821152724563,1797.69820649786,0
"Pantr2",-10.3304911208674,1.03726079895754,531.137781794392,1.59741856372391e-117
"Dalir",-10.6205879683908,0.508282370864976,376.620299702392,6.77304018573329e-84
"Mrps9",-8.02781040478295,5.05125737680342,3615.56189128409,0
"Gpr45",-9.09299992726307,3.23340245956568,1797.3932431457,0
"Tgfbrap1",-7.41444627444442,6.17256014249568,4003.77132441951,0
"Gm28782",-14.7984566250132,-0.982793494320462,569.673186503382,6.6131357644114e-126
"8430432A02Rik",-12.3921033905996,-0.173857810759351,706.732307908974,1.02737615851566e-155
"AI597479",-7.8658405677671,5.30988886815264,3492.78660679779,0
"Fhl2",-7.93042624519395,5.19132675678469,663.630622012109,2.42530463612938e-146
"Nck2",-8.05961722539391,4.89652458680254,1215.14532758734,3.11755440416294e-266
"Ecrg4",-10.5363959678039,0.119537341063427,103.035780889282,3.29149490674367e-24
"Uxs1",-7.77361680638897,5.46141740389698,2662.04357491089,0
"Tpp2",-7.46668204148801,6.00204202753456,3000.29472314599,0
"Tex30",-9.85905689357858,2.24307757835694,1613.59935804167,0
"Poglut2",-8.75469506112701,3.66804796657462,1624.53903344484,0
"Bivm",-8.28656013439766,4.66480491283395,3674.87936879868,0
"Ercc5",-8.12285018215165,4.92430839257997,3429.44427128151,0
"Gulp1",-8.77575410683482,3.13879024989787,251.592826926338,1.1673292537288e-56
"Col3a1",-9.54261156218337,1.32362656499627,68.3669208203153,1.35735515019102e-16
"Col5a2",-9.00506450282481,2.97906795609226,213.468543752243,2.40523015148478e-48
"Wdr75",-7.9904113718159,5.06184604301814,2928.5768354109,0
"Slc40a1",-8.69215893111214,3.82835026370709,1138.34047276112,1.53437095219715e-249
"Dnah7b",-9.26226443319119,2.59607249594686,638.809302063507,6.06596358345247e-141
"Dnah7c",-9.9487610356495,1.75884644598658,816.291115071286,1.54925769366411e-179
"Slc39a10",-6.71671167143981,7.42423596169011,1694.5573690324,0
"Tmeff2",-7.36561311299217,6.1952786036027,2517.92783593067,0
"9330175M20Rik",-13.1957595374273,-1.57652003409444,215.62392263344,8.14630024929479e-49
"Cavin2",-8.720915285385,3.40166187450192,502.626711048315,2.54949375685638e-111
"Nabp1",-8.59693817706786,3.8555060827383,988.252556854884,6.42320307693355e-217
"Myo1b",-7.67929400503778,5.29543112150623,241.464403407065,1.88540294702662e-54
"Gm33795",-11.7570576240329,-1.34231394003011,95.4777318227007,1.49564216357119e-22
"Stat4",-10.2960566855165,0.604557707276075,188.832547646474,5.71695405472956e-43
"Gm31812",-19.1883978599468,-0.998155515807771,2626.08824085651,0
"Stat1",-8.13681254726823,4.74782568648422,1359.6237612874,1.24842758272635e-297
"Gls",-6.22130477633585,8.41551053911513,2797.55334444008,0
"Nab1",-7.78628340757303,5.36265754547515,1723.92047138211,0
"Nemp2",-9.18475103226804,2.89919622390793,609.801563024609,1.23569008697368e-134
"Mfsd6",-7.06483940465268,6.84040758718067,2411.87288292165,0
"Inpp1",-7.82446707265911,5.33980554602274,2787.88065850436,0
"Hibch",-8.60166022913367,3.91160583487976,1506.44212959428,0
"1700019D03Rik",-8.26907477319966,4.54803241381291,2217.1764854997,0
"Mstn",-11.3287027383469,-0.515618222874235,301.855786683114,1.29856006391135e-67
"Pms1",-9.44541908848375,2.6716047108898,1672.22766475687,0
"Ormdl1",-9.12281664830687,3.2037748431786,1846.73994563405,0
"Osgepl1",-8.67586766536327,3.80673990734222,1716.40907274155,0
"Asnsd1",-8.61210083750835,4.01457047667892,2094.81906115356,0
"Dnah7a",-10.6462707536558,0.828230504000759,701.0691230946,1.75071948028017e-154
"Gm32311",-12.2287455577449,-0.94068458066899,440.316528775639,9.23756299768631e-98
"Stk17b",-8.99762130245278,3.17007599981391,1026.37675432521,3.31882361234592e-225
"Hecw2",-7.47266128351958,6.02259765354334,2060.35220178283,0
"Gtf3c3",-8.00763838951795,5.12112608019862,3505.97326080267,0
"Pgap1",-7.547998585695,5.61014734044479,784.423622479893,1.31427872099537e-172
"Ankrd44",-8.60322431061919,3.88297233547449,1102.15162346191,1.1252320441899e-241
"Sf3b1",-6.12151486385922,8.57616844578134,2692.61922130548,0
"Coq10b",-8.2201842294221,4.3455310583471,672.405622968125,2.99540166996687e-148
"Hspd1",-6.95583229637068,6.96832319479484,3241.83955551008,0
"Hspe1",-7.93008347256751,5.11250965218026,2506.64217885741,0
"Mob4",-7.43762299925516,6.0808793244805,3162.12810613686,0
"Rftn2",-7.88766545463292,5.26529126633346,2514.62768248668,0
"Gm10561",-9.63571070986564,2.20565081764147,939.238110278273,2.89818963592878e-206
"Mars2",-8.80442460263289,3.78220078804936,2210.05973689467,0
"Boll",-9.0411916933373,3.27399460331593,1306.31555500174,4.79474602562147e-286
"Plcl1",-7.77741062471121,5.44063248722985,2459.7799749752,0
"Gm6644",-8.53360605674677,4.13218713228346,1875.40468108144,0
"Satb2",-8.80561626201961,3.44225739412376,228.884787162116,1.04364890977804e-51
"9130024F11Rik",-10.1994206450416,0.860311632437356,142.258173056274,8.53946537756832e-33
"Gm38484",-10.2242025886085,0.744075882736241,155.585878803316,1.04270823273216e-35
"BC055402",-16.7711069968193,-1.32600965069731,411.742107230316,1.53079278716253e-91
"1700066M21Rik",-8.12317499129409,4.78854724591848,2141.80127976096,0
"Tyw5",-8.94580619129295,3.41363393574846,1962.74293826597,0
"Maip1",-8.48800155049183,4.19622527858511,2793.5310579276,0
"Spats2l",-8.35570419969974,4.37103342332097,2297.53593124041,0
"Kctd18",-8.58315778144198,4.02617739944365,1574.67641321634,0
"Sgo2a",-11.5210886632625,0.991242948689023,1199.99207715214,6.12379989812762e-263
"Aox1",-9.28940750412692,2.70200919538782,890.425500563171,1.18362511129246e-195
"Aox3",-9.70380038841373,1.18957248794624,122.813237931168,1.53212687916722e-28
"Aox4",-10.1939086156159,1.0091734015293,297.430710359467,1.19547624077973e-66
"LOC118567643",-10.5602020820496,0.892791173528858,548.219347806486,3.07153493369259e-121
"Bzw1",-6.65524818102997,7.55739165133602,2583.85875096093,0
"Clk1",-6.70995001859169,7.33175623176162,1790.40220650904,0
"Ppil3",-8.92827957131841,3.48852457358169,2025.11578653919,0
"Nif3l1",-8.55624509401802,4.14631351013664,2133.73374182839,0
"Orc2",-8.01182819265167,5.00452680441452,2861.03507824811,0
"Gm15834",-10.3012776368104,0.763706285856017,308.651481942213,4.29528818045052e-69
"Fam126b",-7.28893991615615,6.24695526888752,1457.60336986076,6.38663838409604e-319
"Ndufb3",-7.58015480807799,5.82660977786722,3141.14475581062,0
"Gm20257",-10.6292598223328,0.514309839787483,499.021696029828,1.5517791251806e-110
"Flacc1",-12.5616249558594,-1.04427855385282,315.303416800643,1.52736231237796e-70
"Cflar",-8.6106277464112,3.93751073854633,1691.39983394329,0
"Casp8",-9.9892231692032,1.85992190329561,1108.13734879111,5.62709628021601e-243
"Trak2",-6.33759778800962,8.15722104082597,2216.25698022033,0
"Stradb",-8.04001210372938,5.01696046208209,3160.17970198314,0
"Tmem237",-8.25195819424055,4.62532961442899,2691.6532637376,0
"Mpp4",-11.2244123542024,-0.414902091051445,243.839130376054,5.72309290343742e-55
"Als2",-7.55944254401392,5.81704463405064,2645.65569498821,0
"Cdk15",-18.5406810983975,-0.937734536940428,1538.09893838512,0
"Fzd7",-8.72335981627974,3.46465034666948,1006.3228346284,7.58427117441933e-221
"Gm973",-9.15734627927516,2.96429018446033,824.015423351706,3.24168828670004e-181
"Gm39648",-12.029816776498,-1.06815129215129,284.740428675495,6.95993134412239e-64
"Sumo1",-7.76116397415722,5.4585945309773,2788.35996922097,0
"Nop58",-8.08506828278156,4.94500751623131,2962.84281046469,0
"Bmpr2",-6.76175493861315,7.26117402430111,2903.32122874946,0
"Fam117b",-7.40475320162523,6.12132818283685,3445.28950217662,0
"Ica1l",-7.85263478843263,5.17088283801693,1529.85483877468,0
"Wdr12",-8.02879581098756,4.99027429948957,2468.43385876385,0
"Carf",-8.2288672667628,4.50600488650477,1237.4787975599,4.36731288579347e-271
"Nbeal1",-7.9851344818504,4.87307780546,1162.69863658202,7.79888946055498e-255
"Cyp20a1",-8.8155654375438,3.60391290450468,1416.81042492803,4.67200688692266e-310
"Abi2",-7.53023069982687,5.89076835383037,2550.3213880479,0
"Raph1",-7.80464282230469,5.38880745618603,2377.8571953813,0
"Gm11578",-8.71050098822468,3.63990989078793,979.06630785497,6.37593815699615e-215
"Cd28",-11.5640249643259,-1.31446682656641,250.165514433345,2.38976990587708e-56
"Gm38137",-18.446169488905,-1.29818656278859,837.643051602335,3.53196242734854e-184
"Pard3b",-9.19309773937148,2.69776566275682,666.201389626682,6.69413012931866e-147
"Nrp2",-7.52798693738452,5.79047510293252,1075.54118679455,6.83789517802674e-236
"Gm29083",-10.4245273258985,0.605070043085245,317.348231370091,5.47672915012262e-71
"Ino80d",-8.2354358786053,4.59296586587402,1874.90950609462,0
"Ino80dos",-9.40768454981403,2.45014321312034,837.707024335697,3.42064518597838e-184
"Ndufs1",-6.80660326993319,7.28171764176977,3154.18710414456,0
"Eef1b2",-7.0675895807305,6.72694581113451,3026.28817553561,0
"Gpr1",-12.2858231208206,-0.786679909958205,424.173558357713,3.0132314269108e-94
"Zdbf2",-7.83960878158755,4.83437108755607,160.036885499347,1.11068090366063e-36
"Adam23",-6.64703568279356,7.53341910248557,1205.55636470107,3.78223400420435e-264
"Mdh1b",-11.008455573803,0.00224639541388385,253.660955387635,4.13372040419292e-57
"Fastkd2",-8.67684409004671,4.04751967768778,3038.98516196599,0
"4933402D24Rik",-11.3142460197812,0.24729291137019,655.18046136591,1.66905147072676e-144
"Gm13749",-10.5641135666423,0.31379480554708,194.932573196966,2.66518503449353e-44
"Klf7",-7.59479274945775,5.84312128834351,2424.18695554601,0
"Creb1",-7.50490819091843,5.917103796745,2370.63113967563,0
"Mettl21a",-8.77839742601795,3.82810603693734,2825.67911452339,0
"Ccnyl1",-8.26384559227185,4.38708559948695,1322.56367842964,1.41205059162236e-289
"Fzd5",-8.94244579492011,2.94814291069353,316.291440743284,9.30508301204803e-71
"Plekhm3",-7.56469272788286,5.8648334756933,3450.40070908677,0
"Cryga",-12.4821924884433,-1.48969948493972,222.575250251727,2.48124900712938e-50
"D630023F18Rik",-9.05636425879051,2.96637041898547,687.580549144885,1.50116954337645e-151
"Idh1",-7.5981541964086,5.81369968445291,2717.38195585426,0
"Pikfyve",-7.56689904429106,5.84938891290341,3440.50586223064,0
"Pth2r",-9.76866599386906,1.61294130458546,348.482082186883,9.07172209090699e-78
"Map2",-5.23011151502562,10.4217992768635,2894.22614814946,0
"Unc80",-6.21292369933689,8.43235502887491,2111.91902411605,0
"Rpe",-8.10400803207319,4.81204113580377,2409.28121549029,0
"Kansl1l",-8.14126214909866,4.62058446387757,1113.04666207334,4.82261223094045e-244
"Gm46093",-10.2458061592593,1.0771149586949,572.154376799765,1.9084613361685e-126
"Acadl",-7.80505714575706,5.3382223337533,2368.45357808828,0
"Gm15793",-11.1892799123385,1.17071797225113,1341.65241907204,1.00386620651122e-293
"Myl1",-11.7683671565602,-1.45181351843495,121.310322647475,3.26798635285339e-28
"Lancl1",-6.72297009757407,7.42596038178557,2595.68126215228,0
"LOC115487097",-9.37399947754087,2.52700323160973,419.141807861933,3.75182335596795e-93
"Erbb4",-7.28717190310301,6.35755676631774,2377.04944629713,0
"Ikzf2",-9.85906688471557,1.53701157979746,437.639211256382,3.53384860824373e-97
"Spag16",-10.7255590480501,0.0102574959105326,166.906891358964,3.50564411390764e-38
"Vwc2l",-9.16294248181523,2.55702006678642,305.58891212935,1.99605453113766e-68
"Bard1",-15.4617287663296,-0.0289038472231654,979.935260341527,4.1272541487955e-215
"Abca12",-11.6335553483153,-1.13941115311575,146.104598346412,1.23161347494738e-33
"Atic",-7.96555566401805,5.19818960336011,3259.62152367888,0
"Fn1",-7.3837037244113,5.83981261099841,269.048097340415,1.82967359366664e-60
"Mreg",-9.81768813177866,1.74152487559652,484.645531326985,2.08399396325552e-107
"D230017M19Rik",-9.85334222500318,1.66758934788081,604.281568672024,1.96123324440047e-133
"Pecr",-9.75086239170409,2.22062022754574,1247.13078544075,3.48840867353315e-273
"Tmem169",-8.27366674561383,4.43488625485967,1077.42570282804,2.66272025458117e-236
"Gm51631",-19.3129469041705,-1.43509887374209,912.246678588328,2.13579625017844e-200
"Xrcc5",-8.31192599374785,4.48460283197878,2145.08830840794,0
"Marchf4",-7.98116229243482,5.01240337235088,2252.71336366605,0
"Smarcal1",-7.28020808980544,6.36747891311249,3706.54638603342,0
"Rpl37a",-9.51461094243412,2.59588717189143,1114.68306125589,2.12629898019148e-244
"Igfbp2",-8.02198512426242,4.62639201637495,109.086079434678,1.55389036538656e-25
"Igfbp5",-6.81564602494281,7.24539964624977,1104.93579016734,2.79332271633172e-242
"Gm31047",-12.4441088845323,0.310627420944081,926.601208891529,1.61856527481212e-203
"6030407O03Rik",-18.9642757103525,-1.05624674156459,1429.73242033734,7.27041286020529e-313
"Tns1",-7.46150560990708,5.87869080047021,1222.83920711859,6.63347354432201e-268
"Arpc2",-6.65700757940985,7.53498472863828,2848.83002224984,0
"Aamp",-7.19549930424667,6.49877095303554,3669.56522415137,0
"Gm28364",-12.0938401035195,-1.10055837552856,354.399649748885,4.66735002418816e-79
"Pnkd",-6.83421251948274,7.17715859045101,2741.95675105008,0
"Tmbim1",-7.9720568675473,5.07559808690174,2052.02699383457,0
"Catip",-10.420963779609,1.06201200964938,597.360793285327,6.27840872811759e-132
"Slc11a1",-10.0767337362975,1.39863442122691,551.945751662351,4.75019485990785e-122
"Ctdsp1",-8.25829385631019,4.55912952887715,2017.52946208447,0
